time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-02T19:51:46.470Z,-43.6772,123.8879,10,5.5,mww,,41,11.93,0.79,us,us700048vu,2019-07-03T19:55:44.244Z,"South of Australia",earthquake,9.6,1.7,0.073,18,reviewed,us,us
2019-07-02T19:30:01.089Z,59.2624,-152.0597,54.6,4.6,ml,,,,0.82,ak,ak0198eyu6cj,2019-07-03T17:40:45.040Z,"51km SW of Homer, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-02T19:03:50.197Z,66.2826,-157.4809,11.5,2.7,ml,,,,0.82,ak,ak0198eyohrv,2019-07-03T17:18:43.040Z,"72km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-02T18:24:54.856Z,66.2964,-156.9305,0,3.2,ml,,,,0.92,ak,ak0198ey7klj,2019-07-03T17:04:21.040Z,"68km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-02T18:17:07.534Z,66.2753,-157.1918,7,4.4,ml,,,,0.52,ak,ak0198ey5yyy,2019-07-03T17:01:16.040Z,"71km S of Kobuk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-02T18:08:41.316Z,-31.3513,-179.9631,323.59,4.1,mb,,118,6.358,0.67,us,us700048tb,2019-07-03T16:33:38.040Z,"101km W of L'Esperance Rock, New Zealand",earthquake,12.9,9.1,0.114,24,reviewed,us,us
2019-07-02T17:48:42.790Z,36.5106667,-120.767,8.55,2.87,md,86,46,0.1535,0.1,nc,nc73204921,2019-07-03T04:04:02.483Z,"13km NW of New Idria, CA",earthquake,0.12,0.28,0.183,99,reviewed,nc,nc
2019-07-02T15:17:56.403Z,-30.6002,-71.4077,34.93,4,ml,,97,0.209,0.66,us,us700048ni,2019-07-02T15:38:26.040Z,"19km W of Ovalle, Chile",earthquake,3.9,11.7,0.052,48,reviewed,us,us
2019-07-02T14:57:28.692Z,-24.087,-66.8672,244.01,4.1,ml,,230,1.651,0.2,us,us700048n9,2019-07-02T15:26:06.040Z,"57km WNW of San Antonio de los Cobres, Argentina",earthquake,9,19.9,0.062,34,reviewed,us,us
2019-07-02T14:53:12.242Z,-6.5986,143.0945,10,5.1,mb,,75,7.313,0.6,us,us700048mu,2019-07-02T16:05:38.485Z,"77km SW of Mendi, Papua New Guinea",earthquake,5.7,1.9,0.052,118,reviewed,us,us
2019-07-02T12:57:13.196Z,41.136,-116.6104,6,3,ml,15,124.6,0.207,0.1158,nn,nn00689012,2019-07-02T17:15:02.243Z,"61km NNE of Battle Mountain, Nevada",earthquake,,1.6,0.18,10,reviewed,nn,nn
2019-07-02T11:33:08.039Z,61.6769,-150.0607,44.9,3.2,ml,,,,0.58,ak,ak0198eu3d87,2019-07-03T11:35:14.137Z,"7km S of Willow, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-02T09:44:33.453Z,-1.5079,67.5879,10,5.8,mww,,75,5.76,0.9,us,us700048k3,2019-07-03T17:30:13.040Z,"Carlsberg Ridge",earthquake,9.5,1.9,0.073,18,reviewed,us,us
2019-07-02T08:00:15.054Z,-11.5097,166.3839,54.26,5.6,mww,,48,6.656,0.93,us,us700048j0,2019-07-03T17:40:07.040Z,"106km SE of Lata, Solomon Islands",earthquake,6.5,6.6,0.057,30,reviewed,us,us
2019-07-02T07:55:33.715Z,57.8946,-156.3906,137.2,2.5,ml,,,,0.51,ak,ak0198eruej6,2019-07-02T08:02:26.010Z,"89km S of King Salmon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-02T07:37:15.690Z,19.3021667,-155.213,7.81,3.73,ml,67,107,,0.13,hv,hv71019711,2019-07-03T08:34:06.096Z,"14km S of Volcano, Hawaii",earthquake,0.23,0.2,0.18,41,reviewed,hv,hv
2019-07-02T07:34:46.020Z,18.4771,-68.2345,128,2.84,md,7,336,0.761,0.39,pr,pr2019183003,2019-07-02T12:10:29.792Z,"21km ESE of Punta Cana, Dominican Republic",earthquake,7.38,3.26,0.34,6,reviewed,pr,pr
2019-07-02T04:24:55.565Z,-31.3227,-177.5407,10,4.8,mb,,105,2.097,0.44,us,us700048ib,2019-07-02T05:33:06.040Z,"129km E of L'Esperance Rock, New Zealand",earthquake,12.2,1.9,0.07,64,reviewed,us,us
2019-07-02T04:07:14.730Z,-31.2586,-175.4206,10,5.2,mb,,107,2.956,0.93,us,us700048hx,2019-07-02T04:22:54.040Z,"Kermadec Islands region",earthquake,11.4,2,0.131,19,reviewed,us,us
2019-07-02T02:36:40.650Z,19.4716667,-155.4496667,0.22,2.79,ml,58,42,0.05821,0.14,hv,hv71019281,2019-07-02T10:39:19.597Z,"22km WNW of Volcano, Hawaii",earthquake,0.23,0.42,0.15,34,reviewed,hv,hv
2019-07-02T00:47:36.530Z,-17.9667,-178.3443,623.47,4.3,mb,,122,3.438,0.67,us,us700048h3,2019-07-02T01:06:49.040Z,"296km SE of Lambasa, Fiji",earthquake,15.8,10.3,0.102,27,reviewed,us,us
2019-07-02T00:13:50.276Z,29.4917,51.4783,10,4.1,mb,,71,6.18,0.68,us,us700048gw,2019-07-02T18:09:49.567Z,"22km SW of Kazerun, Iran",earthquake,9.1,1.9,0.088,35,reviewed,us,us
2019-07-02T00:06:35.573Z,33.7023,137.2224,354.61,4.3,mb,,30,1.257,0.56,us,us700048gr,2019-07-02T00:34:08.040Z,"93km SSE of Toba, Japan",earthquake,8.4,6.4,0.029,349,reviewed,us,us
2019-07-01T23:54:19.147Z,4.6734,94.4328,34.24,4.4,mb,,166,2.565,0.49,us,us700048gp,2019-07-02T00:12:09.040Z,"138km SW of Banda Aceh, Indonesia",earthquake,7.8,7.1,0.114,22,reviewed,us,us
2019-07-01T23:39:19.890Z,18.8215,-65.8393,8,2.79,md,13,298,0.5677,0.43,pr,pr2019182014,2019-07-02T03:18:34.171Z,"43km N of Vieques, Puerto Rico",earthquake,1.63,1.64,0.32,13,reviewed,pr,pr
2019-07-01T23:36:38.271Z,-20.6097,-173.4869,10,4.9,mb,,114,3.681,1.37,us,us700048gv,2019-07-02T01:23:09.040Z,"127km SE of Pangai, Tonga",earthquake,8.8,1.9,0.097,33,reviewed,us,us
2019-07-01T23:10:34.320Z,61.2191,-146.8976,14.6,3.7,ml,,,,0.6,ak,ak0198ddkciq,2019-07-02T23:04:39.026Z,"31km WNW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-01T22:58:09.098Z,2.2594,96.168,22.99,4.8,mb,,166,1.697,0.7,us,us700048g4,2019-07-01T23:52:00.040Z,"33km SW of Sinabang, Indonesia",earthquake,8.7,6.2,0.07,63,reviewed,us,us
2019-07-01T22:17:01.842Z,66.3593,-157.4993,12.6,2.8,ml,,,,0.78,ak,ak0198dd0cfj,2019-07-01T23:41:55.040Z,"66km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-01T21:47:30.520Z,19.0888329,-155.4506683,40.77,2.51,md,25,186,0.06711,0.11,hv,hv71018961,2019-07-01T23:33:52.040Z,"13km SSE of Pahala, Hawaii",earthquake,0.89,1.5,0.22,9,automatic,hv,hv
2019-07-01T21:17:00.670Z,35.4838333,-120.0171667,9.86,2.66,ml,43,51,0.06336,0.24,ci,ci38439583,2019-07-02T21:49:44.757Z,"15km N of Simmler, CA",earthquake,0.31,0.57,0.144,24,reviewed,ci,ci
